date;race_id;numero;score;resultat;p_marche_final
2026-01-06;20260106-R1C1;2;0.71925;0;0.01509
2026-01-06;20260106-R1C1;3;0.91822;0;0.0845
2026-01-06;20260106-R1C1;4;-2.06068;0;0.01385
2026-01-06;20260106-R1C1;5;0.42431;0;0.06035
2026-01-06;20260106-R1C1;7;-2.46343;0;0.00899
2026-01-06;20260106-R1C1;8;1.68718;0;0.0338
2026-01-06;20260106-R1C1;9;1.23376;0;0.11735
2026-01-06;20260106-R1C1;10;2.11506;1;0.20609
2026-01-06;20260106-R1C1;11;-2.64971;0;0.13202
2026-01-06;20260106-R1C1;13;5.05825;0;0.13412
2026-01-06;20260106-R1C1;14;-2.26835;0;0.02485
2026-01-06;20260106-R1C1;15;-3.59225;0;0.0845
2026-01-06;20260106-R1C1;16;0.87839;0;0.0845
2026-01-06;20260106-R1C2;1;-3.20311;0;0.04224
2026-01-06;20260106-R1C2;2;0.37508;0;0.01656
2026-01-06;20260106-R1C2;3;8.35536;0;0.14565
2026-01-06;20260106-R1C2;4;1.01147;0;0.01837
2026-01-06;20260106-R1C2;5;-4.09446;0;0.00971
2026-01-06;20260106-R1C2;6;-1.72256;0;0.1408
2026-01-06;20260106-R1C2;7;0.92947;0;0.06498
2026-01-06;20260106-R1C2;8;-6.20801;0;0.10057
2026-01-06;20260106-R1C2;9;2.62944;1;0.30171
2026-01-06;20260106-R1C2;10;1.92733;0;0.1594
2026-01-06;20260106-R1C4;1;3.55532;1;0.49046
2026-01-06;20260106-R1C4;2;-3.14526;0;0.05211
2026-01-06;20260106-R1C4;3;3.05235;0;0.0887
2026-01-06;20260106-R1C4;5;-2.76819;0;0.02779
2026-01-06;20260106-R1C4;6;-2.42749;0;0.03088
2026-01-06;20260106-R1C4;7;-0.91605;0;0.28751
2026-01-06;20260106-R1C4;8;2.64932;0;0.02253
2026-01-06;20260106-R1C5;2;-8.33133;0;0.00691
2026-01-06;20260106-R1C5;3;0.97909;0;0.08432
