nom;nb_courses;nb_victoires;gains_total;somme_distances;derniere_date
KOOL DU CHATELET;6;0;0;14550.0;2026-04-28
KARAT DEFF;7;0;0;19225.0;2026-07-15
KABOTIN CHENEVIERE;4;1;0;10500.0;2026-07-10
KYSKO DE FAEL;6;1;0;16850.0;2026-07-16
KAISER DE MORTREE;8;1;0;19975.0;2026-06-18
KADO DES MOLLES;6;0;0;15450.0;2026-07-03
KERRO DE HOUELLE;5;0;0;14150.0;2026-03-23
KILLER BOND;5;3;0;14000.0;2026-07-16
KEROSEN DU GERS;9;4;0;24125.0;2026-06-19
KAISER VRIE;4;0;0;10750.0;2026-05-25
KANKAN;7;0;0;17659.0;2026-06-30
KENOR DESBOIS;7;0;0;17550.0;2026-06-18
KRUGER DU NORD;8;0;0;21250.0;2026-07-16
MAGIC JOHN;9;2;0;24000.0;2026-06-19
MATRIX SAUTREUIL;6;0;0;14000.0;2026-06-18
MONTANA MONNERIE;4;0;0;9925.0;2026-04-10
MUSTANG DE REUX;8;0;0;19650.0;2026-06-13
MARCUS BERRY;8;1;0;19075.0;2026-07-04
MOJI DE VANDEL;6;0;0;17175.0;2026-06-27
MISTER D'AVOINES;7;0;0;19775.0;2026-06-17
MARBRE D'ERABLE;7;2;0;18100.0;2026-05-12
MERCURE D'ELLE;7;3;0;18600.0;2026-06-19
MERVEILLEUX;6;0;0;15425.0;2026-05-12
NAFI DE REVE D'OR;6;1;0;14725.0;2026-06-29
NIGHT FOR YOU;2;1;0;4275.0;2026-06-02
NEEDREAM;6;0;0;14000.0;2026-06-16
NACARIE PRINCESSE;4;0;0;9475.0;2026-03-31
NEFERTITI DU LERRE;1;0;0;2100.0;2026-01-06
NINA HAGEN;7;0;0;17075.0;2026-07-01
NOT ALONE;10;1;0;26600.0;2026-06-17
LEBOSS D'HAVAROCHE;9;0;0;23975.0;2026-06-19
LE BIEF;6;2;0;17300.0;2026-07-16
LISCADO DE HOUELLE;4;1;0;11425.0;2026-06-27
LUTHIER DE PAIL;6;0;0;16475.0;2026-05-21
L'AMOUR D'ETANG;3;0;0;7050.0;2026-02-20
LITTERAIRE;4;0;0;10650.0;2026-03-11
LORENZO GEDE;6;1;0;15900.0;2026-04-24
LASCAR PILE;4;0;0;10775.0;2026-04-25
LEADER BOY;3;0;0;8650.0;2026-06-11
LYNX DU SAPTEL;5;0;0;12650.0;2026-07-10
LOQUIDY;3;3;0;8250.0;2026-02-13
IRIS INTENSE;9;1;0;23775.0;2026-06-20
JUST DU CHATELET;5;2;0;13325.0;2026-06-12
JOSS AIMEF;7;2;0;19525.0;2026-06-14
JIZOU D'ETANG;8;2;0;21925.0;2026-06-05
JOTUNN DU DOME;6;2;0;15650.0;2026-07-04
JUST DE L'OISON;5;1;0;14425.0;2026-07-11
HAUTBRION COLMI;6;1;0;14850.0;2026-05-15
HAPPY DANOVER;3;0;0;8725.0;2026-06-13
IPALIO;3;0;0;8625.0;2026-06-13
ILEO PIERJI;3;1;0;8550.0;2026-07-01
LOUVE D'ALBATRE;2;0;0;5175.0;2026-01-18
LADY BOSSE;7;0;0;17075.0;2026-06-14
LYNDA CASTEL;1;0;0;2175.0;2026-01-06
LACOUMA;6;0;0;15025.0;2026-06-20
LILI DES ORMES;6;1;0;16100.0;2026-05-19
LOLLY STAR;4;0;0;10450.0;2026-05-26
LIOUBA JAMES;3;0;0;8100.0;2026-03-27
LEONA JENILOU;1;0;0;2175.0;2026-01-06
