nom;partants;victoires
TH. DROMIGNY;160;6
D. THOMAIN;525;69
F. OUVRIE;419;26
E. RAFFIN;652;139
M. PANTIC;11;1
F. LAGADEUC;424;58
M. MOTTIER;531;73
B. ROCHARD;700;123
F. NIVARD;492;36
D. BONNE;234;16
M. ABRIVARD;618;70
A. ABRIVARD;462;71
P.PH. PLOQUIN;487;51
A. BOURGOIN-TIMBERT;27;4
J.CH. PITON;101;3
J. KOUBICHE;145;11
F. GUERINEAU;89;8
P. BELLOCHE;90;5
A. COLLETTE;596;51
G. GELORMINI;530;38
TH. LEVESQUE;27;6
R. LAMY;291;29
E. ALLARD;49;2
J. ASSELIE;59;2
J. DUBOIS;79;9
P.Y. VERVA;516;50
A. BARRIER;324;48
PH. DAUGEARD;86;11
THEO DUVALDESTIN;159;44
J. TRAVERS;112;1
G.A. POU POU;79;4
D. BROHIER;65;5
E. HERBEAU;42;0
P. VERCRUYSSE;102;7
B. HARDY;65;3
F. GIARD;71;7
CH. MARTENS;215;42
J.CH. FERON;213;10
M. BROUWER;26;5
S. STEFANO;172;11
A. GOCCIADORO;18;3
TH. BRIAND;478;84
N. PACHA;159;8
P. REPICHET;68;5
N. ENSCH;136;8
D. BEKAERT;492;85
L. GOETZ;148;23
N. MORTAGNE;69;4
A. MUIDEBLED;44;2
W.M.J. BROUWER;1;1
MLLE B. GRIFT;23;7
MLLE G. AMBROGIO;42;5
S. TRIOMPHE;20;0
MLLE V. BRAUN;14;0
A. MAZZU;8;0
J.PH. GRIMALDI;18;1
J. ARNAUD;4;0
MLLE K. FRESNEAU;28;6
MLLE A. VENTURA;17;3
MLLE S. BLANCHETIERE;37;3
MME I. METZEMAEKERS;21;3
D. DESBORDES;42;1
X. BOVAY;28;4
E. BELLEI;6;1
J. GUELPA;72;2
H. SOREL;74;8
K. DEPUYDT;81;6
B. MARIE;44;1
F. TUGEND;146;4
M. VAUDOIT;45;0
A. PILLON;43;3
G. TUGEND;85;5
ALEXANDRE BODIN;112;13
N. MOUROT;42;2
R. MOURICE;21;0
LAURENT GOUT;78;3
M. CINIER;102;8
N. CINIER;69;8
LEO ABRIVARD;125;6
M. CRIADO;178;15
A.A. CHAVATTE;90;13
N.R. BROSSARD;69;4
P. GERAY;166;7
F. GENCE;56;2
TH. CONSTANS;29;4
M. GRASSET;181;19
C. GAZENGEL;73;5
T. BORD;46;2
F. MARTY;90;14
N. LANGLOIS;47;4
CH. DREUX;66;5
A. GENDROT;156;17
L. CHUPIN;50;4
A.G. MAILLARD;95;4
CEDRIC TERRY;200;20
M. GERGOUIL;79;9
TH. DUCOS;69;7
L. GUILLEMIN;10;0
MME LANA HENRY;112;13
GUILLAUME MARTIN;171;10
R.W. DENECHERRE;14;0
M. AUVRAY;23;0
D. DELAROCHE;33;0
F. RODES;13;0
P. GODINEAU;13;0
M. CHAMPENOIS;30;1
F. CLOZIER;114;11
ET. DELAUNAY;45;8
X. DECAUDIN;27;0
L. AUDEBERT;19;1
D. CRESPEL;33;2
L. BAUDOUIN;92;11
AXEL LAIGRON;38;2
CL. FRECELLE;49;0
D. LAISIS;58;4
M. DAOUGABEL;34;0
ET. CLOZIER;56;2
V. GONIN;18;1
TH. DUVALDESTIN;29;13
A. CHERADAME;20;0
CL. THOMAIN;78;5
B. MICHARDIERE;6;0
F. TABESSE;42;0
L. GUINOISEAU;61;1
MLLE L. DARLAY;17;0
A. VOISIN;12;0
D. DE JESUS REIS;8;0
F. BLANDIN;83;7
Y. LEBOURGEOIS;476;95
R. CONGARD;86;6
R. HUE;57;5
A. ANGOT;32;1
S. HARDY;124;7
ADRIEN BLANDIN;79;3
F. LECANU;66;5
E. DE JESUS;206;14
S. TRIBOURDEAU;27;2
G. DELACOUR;34;1
M. CHARUEL;14;0
S. ERNAULT;170;24
J. BALU;17;4
A. FAVRIS;61;4
E. SZIRMAY;36;2
P. PELLEROT;64;3
S. GOUGEON;46;0
CH. ECALARD;2;0
G. LESSIEU;24;0
L. LABBE;12;0
H. LECOT;5;0
MME D. ODIENNE;3;0
CH. PETREMENT;32;0
G. DONIO;36;1
G. CASTEL;12;0
T. LE BELLER;88;12
A. ANDRE;250;23
N. PERRELLE;9;0
C. DEFFAUX;28;0
T. THIEULENT;7;0
C. GODARD;5;0
G. BLANDIN;24;1
R. CORBIN;24;2
L. LEGRAND;41;0
L. CASTEL;19;0
G. LEMAITRE;21;1
V.M. MORIN;21;1
R. BLACHET;9;0
A. RINGLER;18;1
G. DESPREZ;31;5
A. HEMON;5;0
Y. JULIEN;11;1
FL. BUTTIER;13;3
G. D'HAENENS;101;9
R. VILAULT;42;7
TH. VIAUD;26;0
MLLE E. VALLETTE;14;0
A. LEFAUCHEUX;19;4
MLLE CH. SABIN;2;0
MEWENN BOURLIER;13;1
M. GOETZ;115;22
J. GRANDIN;14;1
J. FERRON;16;0
MME L. THORAVAL;5;0
J. PLASSAIS;20;0
MME A. BOURGOIN;41;4
H. BAUMER;27;3
MLLE CH. BANCEL;2;0
TH. BELLET;22;0
G. BAUDOUIN;35;4
N. ROUSSEAU;35;0
R. ROIG-BALAGUER;29;4
C. DELBECQ;13;0
L. GABORIT;20;0
A. MARAIS;8;0
V. FOUCAULT;83;3
M.X. CHARLOT;79;4
A. HONORE;38;3
V. CABOS;78;4
L. LALANDE;21;1
B. VANACKER;33;1
MME G. HERITIER;9;0
MLLE S. TREICH;7;0
