nom;hippodrome;partants;victoires
TH. DROMIGNY;VINCENNES;24;0
D. THOMAIN;VINCENNES;245;20
F. OUVRIE;VINCENNES;116;2
E. RAFFIN;VINCENNES;275;47
M. PANTIC;VINCENNES;2;0
F. LAGADEUC;VINCENNES;169;17
M. MOTTIER;VINCENNES;259;33
B. ROCHARD;VINCENNES;250;30
F. NIVARD;VINCENNES;219;14
D. BONNE;VINCENNES;111;7
M. ABRIVARD;VINCENNES;256;15
A. ABRIVARD;VINCENNES;222;31
P.PH. PLOQUIN;VINCENNES;194;16
A. BOURGOIN-TIMBERT;VINCENNES;10;0
J.CH. PITON;VINCENNES;25;1
J. KOUBICHE;VINCENNES;14;1
F. GUERINEAU;VINCENNES;21;1
P. BELLOCHE;VINCENNES;17;1
A. COLLETTE;VINCENNES;170;8
G. GELORMINI;VINCENNES;196;12
TH. LEVESQUE;VINCENNES;19;4
R. LAMY;VINCENNES;42;2
E. ALLARD;VINCENNES;22;1
J. ASSELIE;VINCENNES;2;0
J. DUBOIS;VINCENNES;24;1
P.Y. VERVA;VINCENNES;168;8
A. BARRIER;VINCENNES;111;14
PH. DAUGEARD;VINCENNES;5;1
THEO DUVALDESTIN;VINCENNES;74;16
J. TRAVERS;VINCENNES;10;0
G.A. POU POU;VINCENNES;27;1
D. BROHIER;VINCENNES;18;0
E. HERBEAU;VINCENNES;1;0
P. VERCRUYSSE;VINCENNES;9;0
B. HARDY;VINCENNES;3;0
F. GIARD;VINCENNES;4;1
CH. MARTENS;CAGNES/MER;75;17
E. RAFFIN;CAGNES/MER;10;1
J.CH. FERON;CAGNES/MER;77;2
A. BARRIER;CAGNES/MER;6;1
M. BROUWER;CAGNES/MER;9;2
S. STEFANO;CAGNES/MER;43;1
A. GOCCIADORO;CAGNES/MER;5;1
TH. BRIAND;CAGNES/MER;85;13
G. GELORMINI;CAGNES/MER;39;2
N. PACHA;CAGNES/MER;69;4
P. REPICHET;CAGNES/MER;22;0
N. ENSCH;CAGNES/MER;77;3
D. BEKAERT;CAGNES/MER;121;11
L. GOETZ;CAGNES/MER;11;2
B. ROCHARD;CAGNES/MER;15;3
N. MORTAGNE;CAGNES/MER;21;1
A. MUIDEBLED;CAGNES/MER;13;1
W.M.J. BROUWER;CAGNES/MER;1;1
MLLE B. GRIFT;CAGNES/MER;15;4
MLLE G. AMBROGIO;CAGNES/MER;15;0
S. TRIOMPHE;CAGNES/MER;5;0
MLLE V. BRAUN;CAGNES/MER;8;0
A. MAZZU;CAGNES/MER;3;0
J.PH. GRIMALDI;CAGNES/MER;5;0
J. ARNAUD;CAGNES/MER;2;0
MLLE K. FRESNEAU;CAGNES/MER;12;0
MLLE A. VENTURA;CAGNES/MER;8;3
MLLE S. BLANCHETIERE;CAGNES/MER;8;0
MME I. METZEMAEKERS;CAGNES/MER;12;2
D. DESBORDES;CAGNES/MER;21;1
X. BOVAY;CAGNES/MER;11;0
E. BELLEI;CAGNES/MER;4;1
J. GUELPA;CAGNES/MER;32;2
H. SOREL;CAGNES/MER;14;0
K. DEPUYDT;CAGNES/MER;5;0
B. MARIE;CAGNES/MER;30;1
F. TUGEND;CAGNES/MER;50;1
M. VAUDOIT;CAGNES/MER;3;0
A. PILLON;CAGNES/MER;29;1
G. TUGEND;CAGNES/MER;25;1
ALEXANDRE BODIN;CAGNES/MER;12;2
N. MOUROT;CAGNES/MER;22;2
R. MOURICE;CAGNES/MER;16;0
LAURENT GOUT;CAGNES/MER;23;1
M. CINIER;CAGNES/MER;37;3
N. CINIER;CAGNES/MER;27;1
LEO ABRIVARD;CAGNES/MER;41;3
M. CRIADO;LE BOUSCAT;15;1
