nom;partants;victoires
THIBAUT DROMIGNY;14;1
CL. THOMAIN;279;36
F. GIARD;125;14
M. SASSIER;368;57
M. PANTIC;12;1
STÉ. ENT. ANTHONY TINTILLIER;125;12
K. LEBLANC;255;36
L. LE DREAN;27;4
E. LELIEVRE;46;10
D. BONNE;63;4
TH. RAFFEGEAU;110;8
L.CL. ABRIVARD;292;32
CH. CUILLER;157;14
B. BOURGOIN;152;9
J.CH. PITON;25;0
P.Y. ROCHARD;38;4
Y. DESMET;79;3
A. RIPOLL RIGO;150;16
P. BELLOCHE;127;10
MLLE ESTELLE BRIALLON;23;0
TH. BORDERIE;22;4
M. MOTTIER;211;34
S. GUARATO;316;45
TH. LEVESQUE;90;17
S. ROGER;363;14
V. MARQUEZ;19;2
STÉ. ENT. EMMANUEL ALLARD;48;1
J.M. BAUDOUIN;155;20
Y. HUREL;59;4
STÉ. ENT. FABRICE SOULOY;73;13
J. BRUNEAU;42;1
CH. BIGEON;125;14
J. DUBOIS;107;11
J.F. SENET;136;5
Y. DREUX;73;13
P.Y. VERVA;153;9
R. LAGADEUC;43;8
A. RANDON;36;4
PH. DAUGEARD;146;11
TH. DUVALDESTIN;302;89
CH.A. MARY;214;22
ST. PROVOOST;242;4
A. VANBERGHEN;14;0
G.A. POU POU;78;4
D. BROHIER;66;6
G. VERVA;67;5
A. HENARD;34;4
F.P. BOSSUET;34;4
P. VERCRUYSSE;44;3
P.L. DESAUNETTE;193;25
S. HARDY;288;9
F. NIVARD;96;8
V. MARTENS;92;23
FREDERIC PRAT;19;0
J.CH. FERON;16;1
M. VARIN;99;6
D. BROUWER;62;12
J.M. ROUBAUD;290;22
A. GOCCIADORO;26;3
H.E. BONDO;221;16
NILS PACHA;199;10
P. REPICHET;84;6
E. VARIN;232;6
CHARLES BOUVIER;152;22
C. BUHIGNE;97;6
TH. BONNARDEL;330;20
N. MORTAGNE;51;4
L. GOUT;118;6
A. MUIDEBLED;32;2
J. CORBANIE;85;8
A. TOMASELLI;49;0
J. UROZ;80;9
D. ALEXANDRE;238;14
CL. MATHE;33;0
A. MAZZU;20;0
D. CINIER;262;21
R. MOURICE;248;10
D. DESBORDES;39;1
M.A. BOVAY;34;4
W. NIMCZYK;33;8
N. ENSCH;175;13
MME M. NATYNKI;6;1
H. GRIFT;85;5
J. GUELPA;56;1
THÉO BRIAND;10;2
MME C. DE SOETE;91;5
B. MARIE;253;17
R. DERIEUX;186;62
M. IZAAC;58;19
A. PILLON;62;2
CH. MOTTIER;118;25
PIERRICK LE MOEL;162;14
R. LE VEXIER;58;0
E. GOUT;94;5
ANTONIO BARBARO;1;0
M. CRIADO;17;3
