nom;pays;courses_vues
VINCENNES;FRA;429
CAGNES/MER;FRA;257
LE BOUSCAT;FRA;47
ARGENTAN;FRA;56
LA CEPIERE;FRA;108
LYON LA SOIE;FRA;70
AGEN LA GARENNE;FRA;108
ANGERS;FRA;44
GRAIGNES;FRA;128
NANTES;FRA;57
MAUQUENCHY;FRA;69
PONT DE VIVAUX;FRA;36
CORDEMAIS;FRA;23
SAINT GALMIER;FRA;56
CHATEAUBRIANT;FRA;27
SAINT BRIEUC;FRA;24
CHERBOURG;FRA;32
MAURE DE BRETAGNE;FRA;28
LAVAL;FRA;84
HYERES;FRA;94
VIRE;FRA;40
PONTCHATEAU;FRA;38
LE MONT SAINT MICHEL;FRA;46
AMIENS;FRA;89
PARAY LE MONIAL;FRA;4
LE CROISE LAROCHE;FRA;72
CAVAILLON;FRA;19
CHATILLON/CHALARONNE;FRA;5
REIMS;FRA;65
CHARTRES;FRA;51
CAEN;FRA;88
ENGHIEN;FRA;204
FEURS;FRA;44
LA CAPELLE;FRA;91
STRASBOURG;FRA;29
BORELY;FRA;97
LISIEUX;FRA;48
MESLAY DU MAINE;FRA;40
CHOLET;FRA;27
NANCY-BRABOIS;FRA;29
CHATELAILLON;FRA;63
RAMBOUILLET;FRA;37
BEAUMONT DE LOMAGNE;FRA;50
LYON-PARILLY;FRA;70
AVIGNON;FRA;7
SAINT MALO;FRA;49
CARPENTRAS;FRA;4
ORAISON;FRA;3
MONTLUCON;FRA;3
NIMES;FRA;4
LE TOUQUET;FRA;1
CASTILLONNES;FRA;1
VICHY;FRA;125
MACON-CLUNY;FRA;2
LE MANS;FRA;27
LIGNIERES;FRA;3
SALON DE PROVENCE;FRA;14
MONTAUBAN;FRA;1
VITTEAUX;FRA;1
LES SABLES D OLONNE;FRA;48
EAUZE;FRA;1
BOLLENE;FRA;2
ERBRAY;FRA;1
CRAON;FRA;4
PORNICHET;FRA;47
CABOURG;FRA;73
CLAIREFONTAINE;FRA;20
LANGON-LIBOURNE;FRA;7
JULLIANGES;FRA;1
ROYAN;FRA;1
LA CLAYETTE;FRA;1
BIARRITZ;FRA;1
AIX LES BAINS;FRA;38
VILLEREAL;FRA;1
DIVONNE LES BAINS;FRA;8
LA GACILLY;FRA;1
