date;type;nom;victoire
2026-05-15;entraineur;H.E. BONDO;0
2026-05-15;entraineur;J. ROBERT;0
2026-05-15;entraineur;TH. DUVALDESTIN;0
2026-05-15;entraineur;M. BEZIER;0
2026-05-15;entraineur;STÉ. ENT. JONATHAN VANMEERBECK;0
2026-05-15;entraineur;J.M. CHAINEUX;0
2026-05-15;entraineur;N. BAZIRE;1
2026-05-15;entraineur;L.CL. ABRIVARD;0
2026-05-15;entraineur;D.P. TESSELAAR;0
2026-05-15;entraineur;H.E. BONDO;0
2026-05-15;entraineur;M. MOTTIER;0
2026-05-15;entraineur;L. CHARBONNEL;0
2026-05-15;entraineur;T. LE BELLER;0
2026-05-15;entraineur;A. REVEILLON;0
2026-05-15;entraineur;J. WESTHOLM;1
2026-05-15;entraineur;SALVATORE MINOPOLI;0
2026-05-15;entraineur;C. GAZENGEL;0
2026-05-15;entraineur;L. CHARBONNEL;0
2026-05-15;entraineur;M. ROTHENGATTER;0
2026-05-15;entraineur;H.E. BONDO;0
2026-05-15;entraineur;E. BOT;0
2026-05-15;entraineur;D. BROUWER;0
2026-05-15;entraineur;M. CASTALDO;0
2026-05-15;entraineur;H.E. BONDO;0
2026-05-15;entraineur;P. PELLEROT;0
2026-05-15;entraineur;MLLE V.M. GOETZ;0
2026-05-15;entraineur;J. DAHLMAN;0
2026-05-15;entraineur;C. CHENU;0
2026-05-15;entraineur;MME MARIA TORNQVIST;0
2026-05-15;entraineur;M. VARIN;0
2026-05-15;entraineur;D. BROUWER;0
2026-05-15;entraineur;H.E. BONDO;0
2026-05-15;entraineur;J. WESTHOLM;0
2026-05-15;entraineur;D. LOCQUENEUX;1
2026-05-15;entraineur;F. TERRY;0
2026-05-15;entraineur;B. MICHARDIERE;0
2026-05-15;entraineur;NILS PACHA;0
2026-05-15;entraineur;MME CL. DESMONTILS;0
2026-05-15;entraineur;MARKUS B SVEDBERG;0
2026-05-15;entraineur;N. RAIMBEAUX;0
2026-05-15;entraineur;TH. BORDERIE;0
2026-05-15;entraineur;T. LE BELLER;1
2026-05-15;entraineur;PH. ALLAIRE;0
2026-05-15;entraineur;J.PH. DUBOIS;0
2026-05-15;entraineur;G.A. POU POU;0
2026-05-15;entraineur;P. PLOQUIN;0
2026-05-15;entraineur;M. MOTTIER;0
2026-05-15;entraineur;S. GUARATO;0
2026-05-15;entraineur;PH. DAUGEARD;0
2026-05-15;entraineur;H. CHAUVE-LAFFAY;0
2026-05-15;entraineur;STÉ. ENT. ETIENNE DUBOIS;0
