race_id;date;hippodrome;numero;cheval;prob_robin;p_marche_verrou;p_marche_final;resultat;rapport_verrou;rapport_final;verrouillee
20260707-R3C2;2026-07-07;LA CAPELLE;1;NAIADE DES FORGES;0.25356;0.06023;0.04037;0;14.0;21.0;1
20260707-R3C2;2026-07-07;LA CAPELLE;2;NYRO D'ERPION;0.04258;0.01833;0.01766;0;46.0;48.0;1
20260707-R3C2;2026-07-07;LA CAPELLE;3;NICE TER MEULEN;0.03907;0.01622;0.01346;0;52.0;63.0;1
20260707-R3C2;2026-07-07;LA CAPELLE;4;NATO JOSSELYN;0.06058;0.15332;0.14872;0;5.5;5.7;1
20260707-R3C2;2026-07-07;LA CAPELLE;5;NEW EPATANTE;0.16527;0.07027;0.06521;1;12.0;13.0;1
20260707-R3C2;2026-07-07;LA CAPELLE;6;NEBULA DANICA;0.05254;0.13176;0.11613;0;6.4;7.3;1
20260707-R3C2;2026-07-07;LA CAPELLE;7;NATASHA DES BAUX;0.0616;0.01533;0.01115;0;55.0;76.0;1
20260707-R3C2;2026-07-07;LA CAPELLE;8;NOLLY WOOD;0.03533;0.13601;0.12467;0;6.2;6.8;1
20260707-R3C2;2026-07-07;LA CAPELLE;9;NOVA DU FER;0.06539;0.14539;0.19715;0;5.8;4.3;1
20260707-R3C2;2026-07-07;LA CAPELLE;10;NARKOS DU PAIN;0.14971;0.07027;0.09018;0;12.0;9.4;1
20260707-R3C2;2026-07-07;LA CAPELLE;11;NOSTALGIE DAIRPET;0.02345;0.04685;0.07064;0;18.0;12.0;1
20260707-R3C2;2026-07-07;LA CAPELLE;12;NANS DE FLEUR;0.05092;0.13601;0.10466;0;6.2;8.1;1
20260707-R3C3;2026-07-07;LA CAPELLE;1;MASTER KING;0.04999;;0.01076;0;51.0;78.0;0
20260707-R3C3;2026-07-07;LA CAPELLE;2;MARCEL SEVEN;0.06165;;0.3648;0;1.8;2.3;0
20260707-R3C3;2026-07-07;LA CAPELLE;3;MAESTRO DE LOU;0.02338;;0.01865;0;24.0;45.0;0
20260707-R3C3;2026-07-07;LA CAPELLE;4;MARIO DU CAIEU;0.08255;;0.02046;0;24.0;41.0;0
20260707-R3C3;2026-07-07;LA CAPELLE;5;MOANA DE WALLIS;0.03703;;0.04416;0;26.0;19.0;0
20260707-R3C3;2026-07-07;LA CAPELLE;6;MY LADY DE CAHOT;0.01475;;0.02893;0;24.0;29.0;0
20260707-R3C3;2026-07-07;LA CAPELLE;7;MAKINA DANICA;0.01438;;0.004;0;106.0;210.0;0
20260707-R3C3;2026-07-07;LA CAPELLE;8;MAESTRO DE RETZ;0.29813;;0.17852;0;5.2;4.7;0
20260707-R3C3;2026-07-07;LA CAPELLE;9;MARVIN D'ALGOT;0.27136;;0.10757;1;18.0;7.8;0
20260707-R3C3;2026-07-07;LA CAPELLE;10;MINA DU VIVIER;0.07087;;0.04661;0;19.0;18.0;0
20260707-R3C3;2026-07-07;LA CAPELLE;11;MISTERIOSO;0.02282;;0.13755;0;14.0;6.1;0
20260707-R3C3;2026-07-07;LA CAPELLE;12;METEORE ETOILE;0.01485;;0.01149;0;60.0;73.0;0
20260707-R3C3;2026-07-07;LA CAPELLE;13;MAGE DES MONTS;0.02588;;0.01785;0;36.0;47.0;0
20260707-R3C3;2026-07-07;LA CAPELLE;14;MILKA LIO;0.01236;;0.00865;0;48.0;97.0;0
20260707-R3C4;2026-07-07;LA CAPELLE;1;LIBERTY AVENUE;0.08971;;0.03391;0;;27.0;0
20260707-R3C4;2026-07-07;LA CAPELLE;3;LE BOSS DANOVER;0.04124;;0.02616;0;;35.0;0
20260707-R3C4;2026-07-07;LA CAPELLE;4;LOKI FACTIER;0.05145;;0.01635;0;;56.0;0
20260707-R3C4;2026-07-07;LA CAPELLE;5;L'AMI LUC;0.02636;;0.0944;0;;9.7;0
20260707-R3C4;2026-07-07;LA CAPELLE;6;L'AMOUR;0.16195;;0.53863;0;;1.7;0
20260707-R3C4;2026-07-07;LA CAPELLE;7;LA BELLE MIKA;0.0311;;0.06104;0;;15.0;0
20260707-R3C4;2026-07-07;LA CAPELLE;8;LEAD ME ON;0.07268;;0.11591;1;;7.9;0
20260707-R3C4;2026-07-07;LA CAPELLE;9;LAMSOU SAN;0.18414;;0.0436;0;;21.0;0
20260707-R3C4;2026-07-07;LA CAPELLE;11;LILI BROAY;0.01477;;0.00615;0;;149.0;0
20260707-R3C4;2026-07-07;LA CAPELLE;12;LOVER DIVIN;0.01412;;0.00576;0;;159.0;0
20260707-R3C4;2026-07-07;LA CAPELLE;13;LEONARD;0.03106;;0.01795;0;;51.0;0
20260707-R3C4;2026-07-07;LA CAPELLE;14;LENNY DU PONT;0.02816;;0.00751;0;;122.0;0
20260707-R3C4;2026-07-07;LA CAPELLE;15;L'ELITE DU CHOQUEL;0.22008;;0.02289;0;;40.0;0
20260707-R3C4;2026-07-07;LA CAPELLE;16;LUC PAASLOO;0.03317;;0.00974;0;;94.0;0
