date;race_id;hippodrome;course;heure_depart;numero;cheval;prob_robin;rapport_verrou;horodatage_verrou;rapport_definitif;resultat;pnl;statut;commentaire;correction_de
2026-07-07;20260707-R3C2;LA CAPELLE;CTRE EQUESTRE;2026-07-07T13:28:00+02:00;1;NAIADE DES FORGES;0.25356;14.0;2026-07-07 13:16:16;21.0;0;-10.0;PERDUE;;
2026-07-07;20260707-R3C6;LA CAPELLE;GU D' HERIPRE;2026-07-07T15:45:00+02:00;10;JEKILL ROCQ;0.4849;6.0;2026-07-07 15:37:31;4.8;0;-10.0;PERDUE;;
2026-07-07;20260707-R5C8;CABOURG;CLAIREFONTAINE;2026-07-07T22:30:00+02:00;13;INCOGNITO;0.21968;15.0;2026-07-07 22:27:36;19.0;0;-10.0;PERDUE;;
2026-07-08;20260708-R1C5;PORNICHET;CASINO PARTOUC.;2026-07-08T18:30:00+02:00;12;ILMAT DES KECHES;0.2818;12.0;2026-07-08 18:23:03;14.0;0;-10.0;PERDUE;;
2026-07-08;20260708-R9C3;CAGNES/MER;D' OSTENDE;2026-07-08T20:20:00+02:00;12;LONGWOOD D'HERIPRE;0.71056;3.8;2026-07-08 20:02:44;3.0;1;20.0;GAGNEE;;
2026-07-09;20260709-R1C1;ENGHIEN;LA GARE DE LYON;2026-07-09T16:03:00+02:00;6;KYROC D'ERPION;0.69292;3.1;2026-07-09 16:00:53;3.5;0;-10.0;PERDUE;;
2026-07-09;20260709-R1C6;ENGHIEN;SERGE CHAVATTE;2026-07-09T18:58:00+02:00;7;MARILOU;0.29376;6.4;2026-07-09 18:43:54;4.5;0;-10.0;PERDUE;;
2026-07-09;20260709-R3C7;SAINT MALO;G. & A-L. DREUX;2026-07-09T16:20:00+02:00;2;KLYDE GALAA;0.19468;12.0;2026-07-09 16:00:55;5.2;1;42.0;GAGNEE;;
2026-07-10;20260710-R1C2;CABOURG;RACE AND CARE;2026-07-10T18:58:00+02:00;6;LUKA MODRIC;0.25909;10.0;2026-07-10 18:52:33;11.0;0;-10.0;PERDUE;;
2026-07-10;20260710-R1C3;CABOURG;OUEST FRANCE;2026-07-10T19:33:00+02:00;8;LARAFALE PASMARICK;0.14082;11.0;2026-07-10 19:22:42;12.0;0;-10.0;PERDUE;;
2026-07-10;20260710-R7C1;CAGNES/MER;DES TOURNESOLS;2026-07-10T18:30:00+02:00;2;ILLIMITEE;0.5984;2.6;2026-07-10 18:22:26;1.6;0;-10.0;PERDUE;;
2026-07-10;20260710-R7C2;CAGNES/MER;DU MALVAN;2026-07-10T19:00:00+02:00;3;NIGHT DES FORGES;0.18742;6.7;2026-07-10 18:52:35;7.9;0;-10.0;PERDUE;;
2026-07-10;20260710-R7C3;CAGNES/MER;LES VESPINS;2026-07-10T19:30:00+02:00;8;MEMORY STAR ELGE;0.51137;7.7;2026-07-10 19:22:43;5.7;0;-10.0;PERDUE;;
